,count,mean,std,min,25%,50%,75%,max
Administrative,12330.0,2.3151662611516626,3.3217841061569113,0.0,0.0,1.0,4.0,27.0
Administrative_Duration,12330.0,80.81861053933592,176.77910747048634,0.0,0.0,7.5,93.25625,3398.75
Informational,12330.0,0.5035685320356853,1.270156425983391,0.0,0.0,0.0,0.0,24.0
Informational_Duration,12330.0,34.47239792772304,140.74929442219795,0.0,0.0,0.0,0.0,2549.375
ProductRelated,12330.0,31.731467964314678,44.47550330493652,0.0,7.0,18.0,38.0,705.0
ProductRelated_Duration,12330.0,1194.7462199688268,1913.6692878720035,0.0,184.1375,598.9369047499999,1464.1572135000001,63973.52223
BounceRates,12330.0,0.02219138047072182,0.048488321806260656,0.0,0.0,0.0031124675,0.016812558499999998,0.2
ExitRates,12330.0,0.04307279776650446,0.048596540551443565,0.0,0.014285714,0.0251564025,0.05,0.2
PageValues,12330.0,5.889257862693593,18.568436607806525,0.0,0.0,0.0,0.0,361.7637419
SpecialDay,12330.0,0.061427412814274114,0.19891727315262864,0.0,0.0,0.0,0.0,1.0
