,count,mean,std,min,25%,50%,75%,max
Administrative,12205.0,2.221302744776731,2.931050517457254,0.0,0.0,1.0,4.0,10.0
Administrative_Duration,12205.0,57.89945852823532,80.20638024347255,0.0,0.0,9.0,94.7,236.75
Informational,12205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Informational_Duration,12205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProductRelated,12205.0,26.835886931585417,24.870098898086177,0.0,8.0,18.0,38.0,83.0
ProductRelated_Duration,12205.0,1001.3326410647794,1036.9853992515666,0.0,193.0,608.9428571,1477.154762,3403.3869049999994
BounceRates,12205.0,0.010567608796722656,0.014520981061520546,0.0,0.0,0.002898551,0.016666667,0.041666667500000004
ExitRates,12205.0,0.03547447887230643,0.029251969963417376,0.0,0.014230973,0.025,0.048529412,0.0999770705
PageValues,12205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SpecialDay,12205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
