,count,mean,std,min,25%,50%,75%,max
sales,100000.0,123.48164076423302,183.33195490163303,0.0,0.0,11.0,196.97525000000002,492.43812500000007
onpromotion,100000.0,2.5728,12.150908468331332,0.0,0.0,0.0,0.0,642.0
dcoilwtico,71495.0,67.95072788306877,25.641932394726034,26.19,46.53,53.41,95.8,110.62
transactions,100000.0,1510.952365,914.8389844951308,0.0,926.0,1330.0,1969.0,3533.5
cluster,100000.0,8.46125,4.658630213469905,1.0,4.0,8.0,13.0,17.0
year,100000.0,2014.83241,1.344924414276431,2013.0,2014.0,2015.0,2016.0,2017.0
month,100000.0,6.20839,3.38288014074996,1.0,3.0,6.0,9.0,12.0
dayofweek,100000.0,2.99498,1.9994636226117697,0.0,1.0,3.0,5.0,6.0
is_weekend,100000.0,0.28505,0.4514405115686394,0.0,0.0,0.0,1.0,1.0
is_holiday,100000.0,0.1502,0.3572691372234161,0.0,0.0,0.0,0.0,1.0
