giai_doan,ten_bien,gia_tri,tan_suat,ty_le_%
before,Title,Missing,3810,16.22
before,Title,Love it!,136,0.58
before,Title,Beautiful,95,0.4
before,Title,Love,88,0.37
before,Title,Love!,84,0.36
before,Title,Beautiful!,72,0.31
before,Title,Beautiful dress,60,0.26
before,Title,Love it,59,0.25
before,Title,Love this dress!,53,0.23
before,Title,Gorgeous,53,0.23
before,Title,Cute top,52,0.22
before,Title,Disappointed,51,0.22
before,Title,Perfect,49,0.21
before,Title,Great dress,49,0.21
before,Title,Super cute,44,0.19
before,Review Text,Missing,845,3.6
before,Review Text,Perfect fit and i've gotten so many compliments. i buy all my suits from here now!,3,0.01
before,Review Text,"I purchased this and another eva franco dress during retailer's recent 20% off sale. i was looking for dresses that were work appropriate, but that would also transition well to happy hour or date night. they both seemed to be just what i was looking for. i ordered a 4 regular and a 6 regular, as i am usually in between sizes. the 4 was definitely too small. the 6 fit, technically, but was very ill fitting. not only is the dress itself short, but it is very short-waisted. i am only 5'3"", but it fe",2,0.01
before,Review Text,"The sweater and skirt are so pretty! they're really soft and have such an easy, comfortable look together. really love this gorgeous outfit.

i am borderline small/medium and kept the size small after trying both on.",2,0.01
before,Review Text,"Love, love these jeans. being short they come right to my ankle. super soft and don?t require any hemming. i ordered my typical jean size of 26 and they fit like a glove. would love to have these in black and grey.",2,0.01
before,Review Text,"Lightweight, soft cotton top and shorts. i think it's meant to be a beach cover-up but i'm wearing it as a thin, light-weight summer outfit on these hot hot days. the top has a loose elastic around the bottom which i didn't realize when i ordered it, but i like it and it matches the look in the photos. and the shorts are very low-cut - don't expect them up around your waist. again, i like that. some might want to wear a cami underneath because it's a thin cotton but i'm fine as-is. i bought it i",2,0.01
before,Review Text,"I bought this shirt at the store and after going home and trying it on, i promptly went online and ordered two more! i've gotten multiple compliments anytime i wear any of them. great for looking put together with no fuss. 
people that have commented there's were destroyed in the wash didn't read the care label which says dry clean.",2,0.01
before,Review Text,"I love this top- it's loose and flowy, yet flattering, and the colors are fun. the armholes are cut a little low, so a cami is necessary. after one wash and lay flat dry, the wrinkling is substantial. hope i can steam it back to its normal shape.",1,0.0
before,Review Text,"This top could've been one of my favorites ever. i ordered the rose option and was planning on ordering another color. the fabric is super thin but i was able to wear w/o an extra tank. unfortunately after 2 wears, several small holes appeared around the neck/under the ruffle. i washed this top on hand wash cycle and hung to dry. when i came to read the reviews, i noticed i wasn't the only customer with this issue.",1,0.0
before,Review Text,"Very flattering. fits tts. love the colors. does not give any lift up or support to breasts.i am a 36 c and i was fine with this. it is so flattering to back and overall a flattering fit i was ok with my breast not being supported and uplifted. if you want support this is not for you. it does look exactly as it does on model in regard to coverage showing some cleavage but very little. i am 5'6"" 127 lbs and not very fit and took a medium. my husband really loves this suit and gave it two big thum",1,0.0
before,Review Text,"If you are shaped anything like me, you will have to size up quite a bit on this one. i tried it on in my normal size and probably needed to size up 2 or more sizes to get the proper fit. the fabric has no ""give"" and feels a little cheap in my opinion. for your reference, i am a curvy, athletic build with broad shoulders.",1,0.0
before,Review Text,"Love this dress!!! i agree with the other reviewers, i had to size up one size, but then it was perfect. i'm 5'5, 125 lbs. and the size 6 worked great.",1,0.0
before,Review Text,"The sweater is thinner than i expected but very cute so i'm keeping it. it seems well made so i'm not expecting easy snags, it washed well.",1,0.0
before,Review Text,"Where i live it's warm enough to wear this dress with tights through the winter. the dress is super comfortable with a unique shape. only downside, the arms and chest run pretty small so if you usually have a hard time fitting sleeves, try a size up.",1,0.0
before,Review Text,Bought this sweater as soon as i saw it. the knit ribs and the length help slim your lines. it is flattering even on my heavier mid section. the material is airy but not see through (yay!) i love that the deep v-neck with collar is not too deep for the office. i would buy another if another color becomes available. perfect spring to summer sweater,1,0.0
before,Division Name,General,13850,58.97
before,Division Name,General Petite,8120,34.57
before,Division Name,Initmates,1502,6.4
before,Division Name,Missing,14,0.06
before,Department Name,Tops,10468,44.57
before,Department Name,Dresses,6319,26.91
before,Department Name,Bottoms,3799,16.18
before,Department Name,Intimate,1735,7.39
before,Department Name,Jackets,1032,4.39
before,Department Name,Trend,119,0.51
before,Department Name,Missing,14,0.06
before,Class Name,Dresses,6319,26.91
before,Class Name,Knits,4843,20.62
before,Class Name,Blouses,3097,13.19
before,Class Name,Sweaters,1428,6.08
before,Class Name,Pants,1388,5.91
before,Class Name,Jeans,1147,4.88
before,Class Name,Fine gauge,1100,4.68
before,Class Name,Skirts,945,4.02
before,Class Name,Jackets,704,3.0
before,Class Name,Lounge,691,2.94
before,Class Name,Swim,350,1.49
before,Class Name,Outerwear,328,1.4
before,Class Name,Shorts,317,1.35
before,Class Name,Sleep,228,0.97
before,Class Name,Legwear,165,0.7
before,Has_Title,Has title,19676,83.78
before,Has_Title,No title,3810,16.22
before,Age_Group,36-45,7391,31.47
before,Age_Group,26-35,5753,24.5
before,Age_Group,46-55,4909,20.9
before,Age_Group,56-65,3050,12.99
before,Age_Group,<=25,1223,5.21
before,Age_Group,>65,1160,4.94
before,Rating,5,13131,55.91
before,Rating,4,5077,21.62
before,Rating,3,2871,12.22
before,Rating,2,1565,6.66
before,Rating,1,842,3.59
before,Recommended_Label,Recommended,19314,82.24
before,Recommended_Label,Not recommended,4172,17.76
before,Sentiment_Label,Positive (4-5),18208,77.53
before,Sentiment_Label,Neutral (3),2871,12.22
before,Sentiment_Label,Negative (1-2),2407,10.25
