store_nbr,total_sales,avg_sales,total_onpromotion,rows,city,state,type,cluster
44,62087553.250089,1117.2452539064457,192449,55572,Quito,Pichincha,A,5
45,54498010.416674,980.6739080233572,191503,55572,Quito,Pichincha,A,11
47,50948310.061006,916.7982088282948,192725,55572,Quito,Pichincha,A,14
3,50481910.185082,908.4054953048658,177075,55572,Quito,Pichincha,D,8
49,43420095.783768,781.3304502945368,184736,55572,Quito,Pichincha,A,11
46,41896062.1216342,753.9059620246563,190697,55572,Quito,Pichincha,A,14
48,35933130.2739365,646.6049498656968,185566,55572,Quito,Pichincha,A,14
51,32911489.537604,592.2315111495717,162576,55572,Guayaquil,Guayas,A,17
8,30494286.928015,548.7347392214605,169671,55572,Quito,Pichincha,D,8
50,28653020.6246953,515.6017531255902,174115,55572,Ambato,Tungurahua,A,14
11,28325558.481396,509.70917874821856,173787,55572,Cayambe,Pichincha,B,6
7,26952049.582971,484.9933344664759,153875,55572,Quito,Pichincha,D,8
9,26409441.0647935,475.22927130197763,177356,55572,Quito,Pichincha,B,6
6,25183679.997054,453.17210100507447,169761,55572,Quito,Pichincha,D,13
24,23767732.701713,427.6925916237134,156253,55572,Guayaquil,Guayas,D,1
2,21557388.6445642,387.9181718232959,158149,55572,Quito,Pichincha,D,13
39,20252192.53354,364.4315938519398,173560,55572,Cuenca,Azuay,B,6
37,19970635.6144784,359.3650690001872,151099,55572,Cuenca,Azuay,D,2
27,19188021.3815342,345.2821813419384,153180,55572,Daule,Guayas,D,1
4,18909700.380001,340.27388576983014,151932,55572,Quito,Pichincha,D,9
38,18859999.2605296,339.3795303485496,147223,55572,Loja,Loja,D,4
40,18395757.405968,331.02564971510833,140054,55572,Machala,El Oro,C,3
28,18383154.8339259,330.7988705449849,165200,55572,Guayaquil,Guayas,E,10
17,18030969.250161,324.4614059267437,136778,55572,Quito,Pichincha,C,12
31,17746872.701507,319.3491812694702,150972,55572,Babahoyo,Los Rios,B,10
34,17090734.15915,307.5421823787159,150651,55572,Guayaquil,Guayas,B,6
43,16391692.2119096,294.9631507217592,124340,55572,Esmeraldas,Esmeraldas,E,10
5,15592404.5723532,280.58023055411354,149370,55572,Santo Domingo,Santo Domingo de los Tsachilas,D,4
36,15322431.096578,275.722145983193,158527,55572,Libertad,Guayas,E,10
41,14991039.1385844,269.7588558731807,141329,55572,Machala,El Oro,D,4
33,14178501.293449,255.13750258131793,136113,55572,Quevedo,Los Rios,C,3
1,14145012.8696541,254.53488932653315,138020,55572,Quito,Pichincha,D,13
18,13259375.6899043,238.598137369616,134087,55572,Quito,Pichincha,B,16
19,13049509.836733,234.82166984691932,111634,55572,Guaranda,Bolivar,C,15
20,12920954.5928321,232.50836019635966,157358,55572,Quito,Pichincha,B,6
23,11651380.6749087,209.66279196193585,128989,55572,Ambato,Tungurahua,D,9
15,11451270.022648,206.0618660952998,120308,55572,Ibarra,Imbabura,C,15
25,11420997.8725745,205.5171286362647,113542,55572,Salinas,Santa Elena,D,1
14,11387918.748218,204.92188059126897,113036,55572,Riobamba,Chimborazo,C,7
53,11216167.2826831,201.83126903266214,204016,55572,Manta,Manabi,D,13
54,11057483.1179049,198.97579928569962,142724,55572,El Carmen,Manabi,C,3
16,10986412.5547492,197.69690770080615,114197,55572,Santo Domingo,Santo Domingo de los Tsachilas,C,3
12,10659217.957236,191.8091477225221,117657,55572,Latacunga,Cotopaxi,C,15
13,10523045.81794,189.3587745256604,103858,55572,Latacunga,Cotopaxi,C,15
29,9725157.696084,175.00103822219822,153632,55572,Guayaquil,Guayas,E,10
10,9613905.735863,172.9990955132621,103223,55572,Quito,Pichincha,C,15
21,9255505.91021,166.54980764071834,144062,55572,Santo Domingo,Santo Domingo de los Tsachilas,B,6
42,8945767.8851627,160.97617298572482,124670,55572,Cuenca,Azuay,D,2
26,7755121.8918648,139.55088699101705,111498,55572,Guayaquil,Guayas,D,10
35,7676679.4216696,138.1393403453106,110104,55572,Playas,Guayas,C,3
30,7382073.663963,132.83800590158714,103096,55572,Guayaquil,Guayas,C,3
32,5951795.9975515,107.10062617058051,89932,55572,Guayaquil,Guayas,C,3
22,4090201.7408,73.60184518822429,99543,55572,Puyo,Pastaza,C,7
52,2696169.733249,48.51669425698193,30814,55572,Manta,Manabi,A,11
