date,total_sales,avg_sales,total_onpromotion,dcoilwtico,is_holiday,total_transactions,year,month,dayofweek,is_weekend
2013-01-01,2511.618999,1.409438271043771,0,93.14,1,770.0,2013,1,1,0
2013-01-02,496092.417944,278.39080692704823,0,93.14,0,93215.0,2013,1,2,0
2013-01-03,361461.231124,202.8401970392817,0,92.97,0,78504.0,2013,1,3,0
2013-01-04,354459.6770927,198.91115437300783,0,93.12,0,78494.0,2013,1,4,0
2013-01-05,477350.121229,267.87324423625137,0,,1,93573.0,2013,1,5,1
2013-01-06,519695.401088,291.6360275465769,0,,0,90464.0,2013,1,6,1
2013-01-07,336122.801066,188.62110048597083,0,93.2,0,75597.0,2013,1,0,0
2013-01-08,318347.777981,178.6463400566779,0,93.21,0,72325.0,2013,1,1,0
2013-01-09,302530.809018,169.77037543097646,0,93.08,0,71971.0,2013,1,2,0
2013-01-10,258982.003049,145.33221270987653,0,93.81,0,66383.0,2013,1,3,0
2013-01-11,289737.6850845,162.59129353787878,0,93.6,0,70338.0,2013,1,4,0
2013-01-12,403258.2120105,226.2952929351852,0,,1,85511.0,2013,1,5,1
2013-01-13,464638.547998,260.7399259248036,0,,0,86306.0,2013,1,6,1
2013-01-14,293348.362078,164.61748713692478,0,94.27,0,70078.0,2013,1,0,0
2013-01-15,299129.549954,167.86170031088665,0,93.26,0,71134.0,2013,1,1,0
2013-01-16,318347.913946,178.64641635578002,0,94.28,0,72471.0,2013,1,2,0
2013-01-17,267498.5159755,150.11140065965208,0,95.49,0,68873.0,2013,1,3,0
2013-01-18,296130.850028,166.17892818630753,0,95.61,0,71371.0,2013,1,4,0
2013-01-19,432459.852021,242.6822963080808,0,,0,88558.0,2013,1,5,1
2013-01-20,461092.386047,258.7499360533109,0,,0,85281.0,2013,1,6,1
2013-01-21,311211.26595000003,174.6415633838384,0,95.61,0,73250.0,2013,1,0,0
2013-01-22,296214.728983,166.22599830695847,0,96.09,0,68988.0,2013,1,1,0
2013-01-23,283258.4530325,158.95536084876542,0,95.06,0,69819.0,2013,1,2,0
2013-01-24,247245.690995,138.74617900953984,0,95.35,0,63705.0,2013,1,3,0
2013-01-25,290022.77193,162.75127493265992,0,95.15,0,71273.0,2013,1,4,0
