bien,gia_tri,tan_suat,ty_le
Title,No Title,3789,0.16147453654378863
Title,Love it!,136,0.005795866183677818
Title,Beautiful,95,0.004048582995951417
Title,Love,88,0.0037502663541444706
Title,Love!,84,0.0035797997016833584
Title,Beautiful!,72,0.0030683997443000212
Title,Beautiful dress,60,0.0025569997869166845
Title,Love it,59,0.0025143831238014064
Title,Gorgeous,53,0.002258683145109738
Title,Love this dress!,53,0.002258683145109738
Title,Cute top,52,0.00221606648199446
Title,Disappointed,51,0.002173449818879182
Title,Perfect,49,0.0020882164926486254
Title,Great dress,49,0.0020882164926486254
Title,Super cute,44,0.0018751331770722353
Title,Adorable,43,0.0018325165139569573
Title,Great top,42,0.0017898998508416792
Title,Not for me,37,0.0015768165352652887
Title,Runs small,36,0.0015341998721500106
Title,Perfect!,35,0.0014915832090347326
Review Text,No Review,825,0.03515874707010441
Review Text,Perfect fit and i've gotten so many compliments. i buy all my suits from here now!,3,0.0001278499893458342
Review Text,"The sweater and skirt are so pretty! they're really soft and have such an easy, comfortable look together. really love this gorgeous outfit.

i am borderline small/medium and kept the size small after trying both on.",2,8.523332623055615e-05
Review Text,"I purchased this and another eva franco dress during retailer's recent 20% off sale. i was looking for dresses that were work appropriate, but that would also transition well to happy hour or date night. they both seemed to be just what i was looking for. i ordered a 4 regular and a 6 regular, as i am usually in between sizes. the 4 was definitely too small. the 6 fit, technically, but was very ill fitting. not only is the dress itself short, but it is very short-waisted. i am only 5'3"", but it fe",2,8.523332623055615e-05
Review Text,"I bought this shirt at the store and after going home and trying it on, i promptly went online and ordered two more! i've gotten multiple compliments anytime i wear any of them. great for looking put together with no fuss. 
people that have commented there's were destroyed in the wash didn't read the care label which says dry clean.",2,8.523332623055615e-05
Review Text,"Lightweight, soft cotton top and shorts. i think it's meant to be a beach cover-up but i'm wearing it as a thin, light-weight summer outfit on these hot hot days. the top has a loose elastic around the bottom which i didn't realize when i ordered it, but i like it and it matches the look in the photos. and the shorts are very low-cut - don't expect them up around your waist. again, i like that. some might want to wear a cami underneath because it's a thin cotton but i'm fine as-is. i bought it i",2,8.523332623055615e-05
Review Text,"Very cute, very flattering. the peplum is fairly subtle and really works, falling at just the right place for me (i'm 5'5). i got the red and have worn it over a dress and with jeans. the color is deep and works well with my pale skin. the fabric is quality and looks like it will hold up well over time - always an issue with sweaters.

unlike some of the other reviewers, i found it ran slightly large. i am small framed but large-chested and often take a medium in sweaters, but a small is roomy o",1,4.2616663115278074e-05
Review Text,"I love this top- it's loose and flowy, yet flattering, and the colors are fun. the armholes are cut a little low, so a cami is necessary. after one wash and lay flat dry, the wrinkling is substantial. hope i can steam it back to its normal shape.",1,4.2616663115278074e-05
Review Text,"This top could've been one of my favorites ever. i ordered the rose option and was planning on ordering another color. the fabric is super thin but i was able to wear w/o an extra tank. unfortunately after 2 wears, several small holes appeared around the neck/under the ruffle. i washed this top on hand wash cycle and hung to dry. when i came to read the reviews, i noticed i wasn't the only customer with this issue.",1,4.2616663115278074e-05
Review Text,"Very flattering. fits tts. love the colors. does not give any lift up or support to breasts.i am a 36 c and i was fine with this. it is so flattering to back and overall a flattering fit i was ok with my breast not being supported and uplifted. if you want support this is not for you. it does look exactly as it does on model in regard to coverage showing some cleavage but very little. i am 5'6"" 127 lbs and not very fit and took a medium. my husband really loves this suit and gave it two big thum",1,4.2616663115278074e-05
Review Text,"If you are shaped anything like me, you will have to size up quite a bit on this one. i tried it on in my normal size and probably needed to size up 2 or more sizes to get the proper fit. the fabric has no ""give"" and feels a little cheap in my opinion. for your reference, i am a curvy, athletic build with broad shoulders.",1,4.2616663115278074e-05
Review Text,"Love this dress!!! i agree with the other reviewers, i had to size up one size, but then it was perfect. i'm 5'5, 125 lbs. and the size 6 worked great.",1,4.2616663115278074e-05
Review Text,"The sweater is thinner than i expected but very cute so i'm keeping it. it seems well made so i'm not expecting easy snags, it washed well.",1,4.2616663115278074e-05
Review Text,"Where i live it's warm enough to wear this dress with tights through the winter. the dress is super comfortable with a unique shape. only downside, the arms and chest run pretty small so if you usually have a hard time fitting sleeves, try a size up.",1,4.2616663115278074e-05
Review Text,Bought this sweater as soon as i saw it. the knit ribs and the length help slim your lines. it is flattering even on my heavier mid section. the material is airy but not see through (yay!) i love that the deep v-neck with collar is not too deep for the office. i would buy another if another color becomes available. perfect spring to summer sweater,1,4.2616663115278074e-05
Review Text,"I got a size xxsp which is perfect although i usually wear a xs petite or xs. i'm 5'2"", currently 33-25-37, 30d/32c bra, with narrow shoulders and torso, a bit long-waisted. the ribbed darby sweater hugs every single curve without being tight. low cut, but not as low as on the model; very flattering neckline. sleeves end about an inch above my elbows and can be folded up.
.
well made, very lightweight knit of 57% cotton, 43% polyester. the ribbing detail is very well thought out. there is bias",1,4.2616663115278074e-05
Review Text,"Fun outerwear for the fall. the color is a bit more grey than the photo shows (at least on my screen), but i still think it'll go with a lot.",1,4.2616663115278074e-05
Review Text,This is what a bathing suit should look and feel like. no crawling up the cheeks :) no spillage out the front. i would say it's true to size or a little on the large size. i'm 5'4 122 and ordered a medium which was great for me. maybe a small would have been ok but i couldn't be happier. good job! color is true to the pic. quality seems nice and sturdy.,1,4.2616663115278074e-05
Review Text,"I missed out on the sherpa vest in caramel last year and didn't want to miss out again - can't wait to wear this when it gets chilly. i am between a s & m but the small was very comfortable. it could be easilly layered over a thicker item, or a t-shirt as pictured. so glad i picked this one up.",1,4.2616663115278074e-05
Review Text,Fits perfect.,1,4.2616663115278074e-05
Division Name,General,13839,0.5897720008523333
Division Name,General Petite,8110,0.34562113786490517
Division Name,Initmates,1502,0.06401022799914767
Division Name,Unknown,14,0.0005966332836138931
Department Name,Tops,10455,0.44555721287023226
Department Name,Dresses,6312,0.2689963775836352
Department Name,Bottoms,3798,0.16185808651182612
Department Name,Intimate,1735,0.07393991050500746
Department Name,Jackets,1032,0.04398039633496697
Department Name,Trend,119,0.0050713829107180905
Department Name,Unknown,14,0.0005966332836138931
Class Name,Dresses,6312,0.2689963775836352
