bien,gia_tri,tan_suat,ty_le
Title,Missing,3810,0.1622243038405859
Title,Love it!,136,0.005790683811632462
Title,Beautiful,95,0.004044962956655029
Title,Love,88,0.0037469130545857107
Title,Love!,84,0.0035765988248318147
Title,Beautiful!,72,0.0030656561355701267
Title,Beautiful dress,60,0.002554713446308439
Title,Love it,59,0.002512134888869965
Title,Gorgeous,53,0.002256663544239121
Title,Love this dress!,53,0.002256663544239121
Title,Cute top,52,0.002214084986800647
Title,Disappointed,51,0.002171506429362173
Title,Perfect,49,0.002086349314485225
Title,Great dress,49,0.002086349314485225
Title,Super cute,44,0.0018734565272928553
Title,Adorable,43,0.0018308779698543813
Title,Great top,42,0.0017882994124159073
Title,Not for me,37,0.0015754066252235373
Title,Runs small,36,0.0015328280677850633
Title,Perfect!,35,0.0014902495103465896
Review Text,Missing,845,0.035978881035510515
Review Text,Perfect fit and i've gotten so many compliments. i buy all my suits from here now!,3,0.00012773567231542194
Review Text,"I purchased this and another eva franco dress during retailer's recent 20% off sale. i was looking for dresses that were work appropriate, but that would also transition well to happy hour or date night. they both seemed to be just what i was looking for. i ordered a 4 regular and a 6 regular, as i am usually in between sizes. the 4 was definitely too small. the 6 fit, technically, but was very ill fitting. not only is the dress itself short, but it is very short-waisted. i am only 5'3"", but it fe",2,8.515711487694797e-05
Review Text,"The sweater and skirt are so pretty! they're really soft and have such an easy, comfortable look together. really love this gorgeous outfit.

i am borderline small/medium and kept the size small after trying both on.",2,8.515711487694797e-05
Review Text,"Love, love these jeans. being short they come right to my ankle. super soft and don?t require any hemming. i ordered my typical jean size of 26 and they fit like a glove. would love to have these in black and grey.",2,8.515711487694797e-05
Review Text,"Lightweight, soft cotton top and shorts. i think it's meant to be a beach cover-up but i'm wearing it as a thin, light-weight summer outfit on these hot hot days. the top has a loose elastic around the bottom which i didn't realize when i ordered it, but i like it and it matches the look in the photos. and the shorts are very low-cut - don't expect them up around your waist. again, i like that. some might want to wear a cami underneath because it's a thin cotton but i'm fine as-is. i bought it i",2,8.515711487694797e-05
Review Text,"I bought this shirt at the store and after going home and trying it on, i promptly went online and ordered two more! i've gotten multiple compliments anytime i wear any of them. great for looking put together with no fuss. 
people that have commented there's were destroyed in the wash didn't read the care label which says dry clean.",2,8.515711487694797e-05
Review Text,"I love this top- it's loose and flowy, yet flattering, and the colors are fun. the armholes are cut a little low, so a cami is necessary. after one wash and lay flat dry, the wrinkling is substantial. hope i can steam it back to its normal shape.",1,4.2578557438473986e-05
Review Text,"This top could've been one of my favorites ever. i ordered the rose option and was planning on ordering another color. the fabric is super thin but i was able to wear w/o an extra tank. unfortunately after 2 wears, several small holes appeared around the neck/under the ruffle. i washed this top on hand wash cycle and hung to dry. when i came to read the reviews, i noticed i wasn't the only customer with this issue.",1,4.2578557438473986e-05
Review Text,"Very flattering. fits tts. love the colors. does not give any lift up or support to breasts.i am a 36 c and i was fine with this. it is so flattering to back and overall a flattering fit i was ok with my breast not being supported and uplifted. if you want support this is not for you. it does look exactly as it does on model in regard to coverage showing some cleavage but very little. i am 5'6"" 127 lbs and not very fit and took a medium. my husband really loves this suit and gave it two big thum",1,4.2578557438473986e-05
Review Text,"If you are shaped anything like me, you will have to size up quite a bit on this one. i tried it on in my normal size and probably needed to size up 2 or more sizes to get the proper fit. the fabric has no ""give"" and feels a little cheap in my opinion. for your reference, i am a curvy, athletic build with broad shoulders.",1,4.2578557438473986e-05
Review Text,"Love this dress!!! i agree with the other reviewers, i had to size up one size, but then it was perfect. i'm 5'5, 125 lbs. and the size 6 worked great.",1,4.2578557438473986e-05
Review Text,"The sweater is thinner than i expected but very cute so i'm keeping it. it seems well made so i'm not expecting easy snags, it washed well.",1,4.2578557438473986e-05
Review Text,"Where i live it's warm enough to wear this dress with tights through the winter. the dress is super comfortable with a unique shape. only downside, the arms and chest run pretty small so if you usually have a hard time fitting sleeves, try a size up.",1,4.2578557438473986e-05
Review Text,Bought this sweater as soon as i saw it. the knit ribs and the length help slim your lines. it is flattering even on my heavier mid section. the material is airy but not see through (yay!) i love that the deep v-neck with collar is not too deep for the office. i would buy another if another color becomes available. perfect spring to summer sweater,1,4.2578557438473986e-05
Review Text,"I got a size xxsp which is perfect although i usually wear a xs petite or xs. i'm 5'2"", currently 33-25-37, 30d/32c bra, with narrow shoulders and torso, a bit long-waisted. the ribbed darby sweater hugs every single curve without being tight. low cut, but not as low as on the model; very flattering neckline. sleeves end about an inch above my elbows and can be folded up.
.
well made, very lightweight knit of 57% cotton, 43% polyester. the ribbing detail is very well thought out. there is bias",1,4.2578557438473986e-05
Review Text,"Fun outerwear for the fall. the color is a bit more grey than the photo shows (at least on my screen), but i still think it'll go with a lot.",1,4.2578557438473986e-05
Review Text,This is what a bathing suit should look and feel like. no crawling up the cheeks :) no spillage out the front. i would say it's true to size or a little on the large size. i'm 5'4 122 and ordered a medium which was great for me. maybe a small would have been ok but i couldn't be happier. good job! color is true to the pic. quality seems nice and sturdy.,1,4.2578557438473986e-05
Review Text,"I missed out on the sherpa vest in caramel last year and didn't want to miss out again - can't wait to wear this when it gets chilly. i am between a s & m but the small was very comfortable. it could be easilly layered over a thicker item, or a t-shirt as pictured. so glad i picked this one up.",1,4.2578557438473986e-05
Review Text,Fits perfect.,1,4.2578557438473986e-05
Division Name,General,13850,0.5897130205228647
Division Name,General Petite,8120,0.34573788640040876
Division Name,Initmates,1502,0.06395299327258792
Division Name,Missing,14,0.0005960998041386358
Department Name,Tops,10468,0.44571233926594567
Department Name,Dresses,6319,0.26905390445371713
Department Name,Bottoms,3799,0.16175593970876267
Department Name,Intimate,1735,0.07387379715575236
Department Name,Jackets,1032,0.04394107127650515
Department Name,Trend,119,0.005066848335178404
Department Name,Missing,14,0.0005960998041386358
Class Name,Dresses,6319,0.26905390445371713
Class Name,Knits,4843,0.20620795367452951
Class Name,Blouses,3097,0.13186579238695392
Class Name,Sweaters,1428,0.06080218002214085
Class Name,Pants,1388,0.05909903772460189
Class Name,Jeans,1147,0.04883760538192966
Class Name,Fine gauge,1100,0.04683641318232138
Class Name,Skirts,945,0.040236736779357914
Class Name,Jackets,704,0.029975304436685685
Class Name,Lounge,691,0.029421783189985524
Class Name,Swim,350,0.014902495103465894
Class Name,Outerwear,328,0.013965766839819467
Class Name,Shorts,317,0.013497402707996252
Class Name,Sleep,228,0.009707911095972068
Class Name,Legwear,165,0.007025461977348208
Class Name,Intimates,154,0.006557097845524993
Class Name,Layering,146,0.006216469386017201
Class Name,Trend,119,0.005066848335178404
Class Name,Missing,14,0.0005960998041386358
Class Name,Casual bottoms,2,8.515711487694797e-05
Sentiment Label,Positive,18208,0.7752703738397343
Sentiment Label,Neutral,2871,0.1222430384058588
Sentiment Label,Negative,2407,0.10248658775440687
Recommended IND,1,19314,0.8223622583666865
Recommended IND,0,4172,0.17763774163331347
Rating,5,13131,0.5590990377246019
Rating,4,5077,0.21617133611513242
Rating,3,2871,0.1222430384058588
Rating,2,1565,0.06663544239121179
Rating,1,842,0.03585114536319509
Clothing ID,1078,1024,0.04360044281699736
Clothing ID,862,806,0.03431831729541003
Clothing ID,1094,756,0.032189389423486335
Clothing ID,1081,582,0.02478072042919186
Clothing ID,872,545,0.02320531380396832
Clothing ID,829,527,0.02243889977007579
Clothing ID,1110,480,0.020437707570467513
Clothing ID,868,430,0.018308779698543814
Clothing ID,895,404,0.01720173720514349
Clothing ID,936,358,0.015243123562973686
Clothing ID,867,351,0.014945073660904369
Clothing ID,850,338,0.014391552414204208
Clothing ID,1095,327,0.013923188282380993
Clothing ID,863,306,0.01302903857617304
Clothing ID,1077,297,0.012645831559226774
Clothing ID,1059,294,0.012518095886911352
Clothing ID,1086,291,0.01239036021459593
Clothing ID,1080,289,0.012305203099718982
Clothing ID,860,288,0.012262624542280507
Clothing ID,1083,249,0.010602060802180022
